Time (s),Velocity Beam 1 (m/s),Velocity Beam 2 (m/s),Velocity Beam 3 (m/s),Velocity Beam 4 (m/s)
1720611592.209,"[0.2278, 0.2451, 0.1711]","[-0.0148, 0.072, 0.0136]","[-0.0905, -0.0263, -0.0641]","[0.0947, 0.1534, 0.0818]"
1720611592.215,"[0.1983, 0.1556, 0.1102]","[0.0166, 0.0745, 0.0234]","[-0.05, -0.0093, -0.0373]","[0.0934, 0.0651, 0.1097]"
1720611592.231,"[0.172, 0.1104, 0.1691]","[-0.0063, -0.0349, 0.0237]","[-0.0569, -0.1071, -0.0442]","[0.102, 0.0234, 0.0505]"
1720611592.247,"[0.1341, 0.1342, 0.1558]","[-0.0115, -0.0044, 0.0241]","[-0.1161, -0.0907, -0.1415]","[0.0334, 0.035, 0.022]"
1720611592.247,"[0.0947, 0.0574, -0.0006]","[-0.0465, -0.1054, -0.0745]","[-0.2758, -0.2309, -0.2191]","[-0.0376, -0.0538, -0.0754]"
1720611592.262,"[-0.0342, 0.0223, 0.0007]","[-0.1261, -0.1593, -0.1678]","[-0.3034, -0.29, -0.2311]","[-0.1651, -0.1402, -0.078]"
1720611592.262,"[-0.0656, -0.0069, 0.0044]","[-0.2245, -0.1604, -0.1619]","[-0.2831, -0.2358, -0.2311]","[-0.1787, -0.0851, -0.0606]"
1720611592.278,"[-0.0668, 0.0271, -0.0135]","[-0.1587, -0.1581, -0.1784]","[-0.2695, -0.228, -0.2619]","[-0.1059, -0.0362, -0.0709]"
1720611592.294,"[-0.0886, 0.0799, -0.0031]","[-0.0896, -0.1035, -0.0919]","[-0.1992, -0.1886, -0.2007]","[-0.1993, 0.0437, -0.0372]"
1720611592.294,"[0.0213, 0.1054, 0.0907]","[-0.1162, -0.0469, -0.0688]","[-0.2201, -0.1501, -0.1902]","[-0.1031, -0.0159, -0.0132]"
1720611592.309,"[0.0153, 0.0982, 0.1548]","[0.0279, -0.1067, -0.0199]","[-0.0457, -0.141, -0.147]","[-0.0879, -0.0336, 0.028]"
1720611592.316,"[0.173, 0.1228, 0.0684]","[0.0425, -0.0012, -0.0771]","[-0.0288, -0.1222, -0.1881]","[0.1001, 0.0459, 0.0422]"
1720611592.331,"[0.1268, 0.0903, 0.1495]","[0.0042, 0.0499, -0.0344]","[-0.0566, -0.2349, -0.1991]","[0.0966, -0.0057, 0.0332]"
1720611592.331,"[0.1504, 0.1992, 0.1835]","[-0.0028, 0.0406, 0.0251]","[-0.0308, -0.0553, -0.0555]","[0.0511, 0.1039, 0.1056]"
1720611592.347,"[0.1277, 0.1435, 0.1899]","[-0.0047, 0.0724, 0.056]","[-0.0425, -0.04, -0.0868]","[0.0532, 0.0628, 0.099]"
1720611592.363,"[0.1149, 0.1317, 0.1824]","[-0.0027, 0.022, -0.0336]","[-0.0459, -0.0527, -0.067]","[0.0493, 0.1362, 0.0574]"
1720611592.363,"[0.1015, 0.1461, 0.1429]","[-0.0214, 0.0434, -0.0281]","[-0.0536, -0.0202, -0.0337]","[0.0164, 0.1065, 0.1261]"
1720611592.378,"[0.1142, 0.0622, 0.0461]","[0.0531, -0.0591, -0.0109]","[-0.0998, -0.1319, -0.0541]","[0.2054, 0.0155, 0.1072]"
1720611592.394,"[0.0634, 0.0515, 0.0514]","[-0.0486, -0.0632, -0.0508]","[-0.1335, -0.12, -0.101]","[0.0963, -0.0147, -0.004]"
1720611592.416,"[0.0663, 0.0252, 0.0011]","[0.0196, 0.0051, -0.0288]","[-0.0976, -0.1028, -0.1068]","[0.2489, -0.0172, -0.0199]"
1720611592.416,"[0.1035, 0.0369, 0.0294]","[-0.0391, -0.0236, -0.0556]","[0.0073, -0.0689, -0.0929]","[0.0563, 0.0423, -0.0141]"
1720611592.416,"[0.0566, 0.0434, 0.0904]","[-0.0009, 0.0267, -0.0289]","[-0.0128, -0.0799, -0.0786]","[0.0652, 0.074, 0.0086]"
1720611592.431,"[0.0795, 0.0638, 0.1017]","[-0.0153, -0.0527, 0.0011]","[-0.0007, -0.0761, -0.0663]","[0.1015, 0.0327, 0.0544]"
1720611592.431,"[0.0774, 0.045, 0.0315]","[0.0156, -0.0677, -0.0192]","[-0.006, -0.0811, -0.0667]","[0.0773, 0.0258, 0.0559]"
1720611592.447,"[0.0532, 0.037, 0.0387]","[-0.0052, -0.0509, -0.0684]","[-0.0363, -0.0387, -0.1059]","[0.0688, 0.0163, 0.0182]"
1720611592.463,"[0.0306, 0.0592, 0.0833]","[-0.0208, -0.0476, -0.0408]","[-0.0307, -0.0332, -0.074]","[0.0027, 0.0173, 0.0159]"
1720611592.463,"[0.0027, 0.0539, 0.0417]","[-0.0076, -0.0256, 0.0008]","[-0.0013, -0.0448, -0.0354]","[0.0363, 0.0108, 0.0492]"
1720611592.478,"[-0.0152, 0.0191, 0.0189]","[-0.0134, -0.0391, -0.0426]","[-0.0047, -0.0377, -0.0412]","[-0.0016, 0.0354, -0.0166]"
1720611592.478,"[-0.0339, 0.049, -0.0018]","[-0.0458, -0.0531, -0.0603]","[-0.0384, -0.0197, -0.0382]","[0.0153, 0.0216, 0.0759]"
1720611592.494,"[0.0197, 0.0273, -0.0014]","[-0.0627, -0.08, -0.0766]","[-0.0965, -0.0387, -0.052]","[-0.0009, 0.041, 0.0401]"
1720611592.509,"[-0.0204, 0.0135, 0.061]","[-0.0918, -0.0024, -0.0319]","[-0.1687, -0.0468, -0.0726]","[-0.0144, 0.0352, -0.0032]"
1720611592.516,"[-0.0336, -0.1061, -0.0472]","[-0.0903, -0.1501, -0.1067]","[-0.103, -0.1786, -0.0969]","[-0.0765, -0.1013, -0.0232]"
1720611592.532,"[-0.0063, 0.0269, -0.0661]","[-0.1391, -0.0656, -0.0992]","[-0.0809, -0.0536, -0.0939]","[0.0109, 0.044, -0.0178]"
1720611592.532,"[0.0421, 0.1077, 0.0619]","[-0.1537, 0.0103, -0.0478]","[-0.0722, -0.0021, -0.038]","[0.0361, 0.0618, 0.0682]"
1720611592.547,"[-0.0822, 0.1713, 0.0855]","[0.0759, 0.0377, -0.0294]","[0.0273, 0.0093, -0.0371]","[0.0311, 0.0706, 0.0669]"
1720611592.563,"[0.2095, 0.2435, 0.1419]","[0.1007, 0.0684, 0.0082]","[-0.0746, 0.005, -0.0912]","[-0.0058, 0.0867, 0.0797]"
1720611592.563,"[0.0954, 0.0689, 0.1125]","[0.044, -0.0489, -0.0303]","[-0.0148, -0.0493, -0.1251]","[-0.0427, 0.0403, 0.006]"
1720611592.578,"[0.0994, 0.0907, 0.1121]","[0.0272, -0.0355, -0.0437]","[-0.0615, -0.081, -0.1534]","[0.0519, 0.0462, -0.0088]"
1720611592.578,"[0.0895, 0.1006, 0.1319]","[-0.0318, -0.0404, -0.0031]","[-0.1128, -0.0918, -0.0658]","[0.011, 0.0309, 0.0665]"
1720611592.594,"[0.0428, 0.1266, 0.1374]","[-0.0499, 0.023, 0.0234]","[-0.117, -0.0355, -0.0596]","[-0.0227, 0.0786, 0.0535]"
1720611592.61,"[0.0392, 0.1099, 0.0534]","[0.2162, 0.026, 0.1007]","[-0.1562, -0.0346, -0.0256]","[0.0719, 0.0849, 0.0379]"
1720611592.616,"[0.1068, -0.1094, 0.0283]","[0.3598, -0.1285, -0.0404]","[-0.2867, -0.2242, -0.055]","[-0.0087, -0.1104, -0.0477]"
1720611592.632,"[-0.1154, -0.1136, 0.0695]","[-0.1469, -0.2062, 0.0588]","[-0.1894, -0.2597, -0.0999]","[-0.2122, -0.1777, -0.0099]"
1720611592.632,"[-0.06, 0.0385, 0.1614]","[-0.1982, -0.2413, -0.1109]","[-0.2689, -0.2888, -0.0978]","[-0.222, -0.2434, 0.0151]"
1720611592.648,"[0.0996, 0.0397, 0.1283]","[-0.1472, -0.1748, -0.1173]","[-0.1181, -0.1355, -0.1543]","[-0.01, -0.0753, -0.0939]"
1720611592.663,"[-0.0425, -0.0288, 0.0886]","[-0.1365, -0.0768, -0.0919]","[-0.0938, -0.064, -0.0875]","[-0.0235, -0.028, -0.108]"
1720611592.672,"[-0.0344, -0.0678, 0.0168]","[-0.1302, -0.1319, -0.0258]","[-0.0909, -0.1319, -0.0811]","[0.0188, -0.0639, -0.0052]"
1720611592.672,"[0.03, -0.0474, 0.0429]","[-0.0789, -0.1077, -0.0054]","[0.0803, -0.1133, -0.0715]","[0.0751, -0.0467, -0.0174]"
1720611592.688,"[0.1434, -0.001, 0.0487]","[-0.0123, -0.0736, 0.0204]","[0.057, -0.0836, -0.0503]","[0.1218, -0.0065, -0.0156]"
1720611592.688,"[0.1483, 0.0557, 0.0726]","[-0.0024, 0.0059, 0.0212]","[0.0545, -0.0459, -0.0449]","[0.1147, 0.0128, -0.0035]"
1720611592.703,"[0.0355, 0.0715, 0.1028]","[-0.0031, 0.0098, 0.0084]","[0.032, -0.0342, -0.0425]","[0.0612, 0.0147, 0.0386]"
1720611592.732,"[0.0641, 0.0819, 0.0943]","[0.0378, 0.0217, -0.0014]","[0.0299, 0.0054, -0.0561]","[0.073, 0.0493, 0.0319]"
1720611592.732,"[0.1051, 0.0794, 0.0698]","[0.0247, 0.0397, -0.0523]","[0.0116, -0.0226, -0.054]","[0.0821, 0.0555, 0.0168]"
1720611592.732,"[0.1135, 0.1046, 0.1315]","[0.0503, 0.0207, -0.0166]","[0.0141, 0.01, -0.0623]","[0.0788, 0.0666, 0.0121]"
1720611592.748,"[0.1415, 0.1022, 0.0235]","[0.0382, 0.0535, 0.0276]","[-0.0096, -0.0471, -0.0145]","[0.0397, 0.0546, -0.0183]"
1720611592.763,"[0.1305, 0.071, 0.0334]","[0.0091, -0.0163, -0.0438]","[-0.0328, -0.0724, -0.0948]","[0.0381, 0.0249, 0.0169]"
1720611592.763,"[0.0789, 0.074, 0.0666]","[0.0243, -0.0253, -0.0567]","[0.0539, -0.0692, -0.101]","[0.0256, 0.0386, 0.005]"
1720611592.779,"[0.1082, 0.1501, 0.1039]","[0.1297, -0.0034, -0.0507]","[0.0798, -0.0751, -0.1228]","[0.1654, 0.0623, 0.0198]"
1720611592.779,"[0.1251, 0.0509, 0.0609]","[0.053, -0.0794, -0.054]","[-0.1278, -0.1667, -0.1463]","[0.0568, -0.0642, -0.0209]"
1720611592.795,"[0.0638, 0.0195, 0.0839]","[-0.008, -0.0806, -0.019]","[-0.1211, -0.1765, -0.0992]","[-0.0452, -0.0684, -0.0115]"
1720611592.81,"[0.1008, 0.0303, 0.0855]","[0.0269, -0.085, 0.0151]","[-0.1323, -0.1835, -0.095]","[-0.0625, -0.0601, -0.0152]"
1720611592.817,"[0.0539, 0.0508, 0.0531]","[-0.0605, -0.0675, -0.0733]","[-0.1423, -0.1521, -0.1478]","[-0.0662, -0.0379, -0.0182]"
1720611592.832,"[0.027, -0.0369, -0.022]","[-0.0622, -0.0966, -0.0853]","[-0.183, -0.1784, -0.1678]","[-0.0862, -0.1005, -0.049]"
1720611592.832,"[0.1255, -0.0523, 0.0127]","[0.0104, -0.1432, -0.1438]","[-0.0538, -0.1702, -0.1769]","[0.0612, -0.1075, -0.0258]"
1720611592.848,"[0.1691, -0.0123, 0.2133]","[0.0399, -0.1011, -0.1835]","[-0.0736, -0.1869, -0.1352]","[0.0467, -0.0758, 0.0306]"
1720611592.848,"[0.1163, 0.0415, 0.1722]","[-0.0341, -0.0817, 0.1008]","[-0.1588, -0.1854, 0.0349]","[0.0375, -0.0613, 0.1545]"
1720611592.864,"[0.162, 0.0669, 0.055]","[-0.0642, -0.0957, -0.0646]","[-0.178, -0.1964, -0.078]","[-0.0048, -0.0238, 0.0613]"
1720611592.911,"[0.1066, 0.009, 0.0346]","[-0.111, -0.1619, -0.1055]","[-0.2851, -0.2488, -0.0944]","[0.0059, 0.0356, 0.062]"
1720611592.911,"[0.0496, 0.0334, 0.0302]","[-0.0653, -0.1139, -0.1382]","[-0.2706, -0.2355, -0.2441]","[0.0417, -0.0771, -0.1042]"
1720611592.911,"[0.0364, 0.0546, 0.052]","[-0.1107, -0.0868, -0.0634]","[-0.2776, -0.2943, -0.2102]","[-0.0401, -0.151, -0.0337]"
1720611592.911,"[-0.0845, 0.0604, 0.0899]","[-0.1608, -0.055, -0.0625]","[-0.3112, -0.2299, -0.1334]","[-0.0553, -0.0214, -0.0069]"
1720611592.917,"[0.0776, 0.0408, -0.0085]","[-0.0568, -0.1173, -0.1429]","[-0.2306, -0.253, -0.2044]","[-0.1475, -0.0924, -0.111]"
1720611592.933,"[0.0941, -0.1115, 0.0485]","[-0.1081, -0.2035, -0.1306]","[-0.3159, -0.388, -0.2207]","[-0.2827, -0.2734, -0.0961]"
1720611592.933,"[-0.0082, -0.0996, 0.1067]","[-0.0721, -0.2169, -0.1196]","[-0.2337, -0.3237, -0.1874]","[-0.2081, -0.2464, -0.0997]"
1720611592.948,"[0.0726, 0.0581, 0.0786]","[-0.1116, -0.0476, -0.003]","[-0.1411, -0.1306, -0.0812]","[-0.0105, -0.0147, 0.0521]"
1720611592.948,"[0.1176, 0.016, -0.0451]","[0.0101, -0.0532, -0.1502]","[-0.1549, -0.1684, -0.2049]","[-0.0248, -0.077, -0.1302]"
1720611592.964,"[0.108, 0.0059, 0.09]","[-0.0599, -0.0763, -0.0164]","[-0.0962, -0.2014, -0.0998]","[-0.0303, -0.116, -0.0251]"
1720611592.98,"[0.1289, 0.0427, 0.1773]","[0.0313, -0.0411, -0.0215]","[-0.071, -0.1586, -0.1034]","[0.0407, -0.0756, 0.0461]"
1720611592.98,"[0.1557, 0.1489, 0.1024]","[0.0458, 0.0287, 0.0942]","[-0.0069, -0.0116, 0.0007]","[0.093, 0.0907, 0.0085]"
1720611592.995,"[0.2179, 0.2381, 0.0752]","[0.1234, 0.1002, 0.1105]","[0.0265, -0.0278, -0.1134]","[0.0879, 0.0736, 0.0109]"
1720611593.011,"[0.2041, 0.2123, 0.2956]","[0.1318, 0.1717, 0.0701]","[0.0347, 0.0173, 0.0791]","[0.1115, 0.0879, 0.1881]"
1720611593.017,"[0.2197, 0.2876, 0.2459]","[0.1781, 0.2107, 0.0493]","[0.1104, 0.113, 0.0847]","[0.0935, 0.1641, 0.1794]"
1720611593.033,"[0.202, 0.2117, 0.2101]","[0.1335, 0.1439, 0.0573]","[0.1091, 0.04, 0.0386]","[0.0489, 0.1881, 0.242]"
1720611593.048,"[0.1448, 0.0726, 0.0832]","[0.0752, 0.0465, 0.0064]","[-0.1001, -0.1205, -0.019]","[0.016, 0.0082, 0.0878]"
1720611593.048,"[0.0329, 0.0104, 0.0054]","[-0.0575, -0.1135, -0.0968]","[-0.1453, -0.143, -0.1275]","[-0.0296, -0.0216, -0.0144]"
1720611593.048,"[-0.0076, 0.1338, 0.1227]","[-0.0784, -0.0813, -0.0979]","[-0.1202, -0.0326, -0.138]","[-0.0658, 0.0733, -0.0289]"
1720611593.064,"[-0.0391, 0.1286, 0.0964]","[0.1504, -0.0634, 0.1304]","[-0.0529, -0.0379, -0.096]","[0.087, 0.0759, 0.0028]"
1720611593.08,"[0.0747, 0.1287, 0.1284]","[0.0472, 0.0776, -0.0115]","[-0.0869, -0.0412, -0.1136]","[0.1149, 0.0573, 0.0984]"
1720611593.08,"[-0.0119, 0.1276, 0.1125]","[-0.0503, -0.0056, -0.042]","[-0.1091, -0.1059, -0.1145]","[-0.0649, 0.0583, 0.0466]"
1720611593.095,"[-0.0599, 0.1252, 0.0863]","[-0.0279, -0.0132, -0.0414]","[-0.0738, -0.034, -0.1166]","[-0.0596, 0.0393, 0.0079]"
1720611593.111,"[0.0768, 0.1012, 0.1275]","[-0.0307, -0.0113, -0.0023]","[-0.0042, -0.0487, -0.0334]","[0.0054, 0.0732, 0.0775]"
1720611593.117,"[0.0745, 0.1224, 0.1827]","[0.0114, 0.0108, 0.0772]","[-0.0213, -0.0149, -0.0187]","[0.0088, 0.0739, 0.1154]"
1720611593.133,"[-0.0603, -0.112, -0.1066]","[-0.051, -0.0884, 0.0921]","[-0.1049, -0.1206, 0.0133]","[-0.1341, -0.078, -0.1256]"
1720611593.133,"[-0.0722, -0.0989, -0.0268]","[-0.0625, -0.0624, -0.0109]","[-0.0705, -0.1279, -0.156]","[-0.1011, -0.0785, -0.1165]"
1720611593.149,"[-0.0622, -0.0957, -0.0429]","[-0.0655, -0.158, -0.1398]","[-0.0954, -0.1679, -0.1308]","[-0.1011, -0.1267, -0.1191]"
1720611593.149,"[-0.0483, -0.1123, -0.0876]","[-0.0774, -0.1647, -0.1731]","[-0.17, -0.2101, -0.224]","[-0.1263, -0.1499, -0.135]"
1720611593.164,"[-0.0761, -0.0975, -0.0548]","[-0.1454, -0.1474, -0.1973]","[-0.3077, -0.2017, -0.2411]","[-0.2446, -0.1364, -0.1635]"
1720611593.18,"[-0.035, -0.0319, -0.01]","[-0.0984, -0.1004, -0.1287]","[-0.1401, -0.1598, -0.1638]","[-0.1047, -0.1019, -0.0837]"
1720611593.18,"[-0.1082, -0.0734, -0.0193]","[-0.1046, -0.1497, -0.1165]","[-0.2164, -0.2091, -0.1533]","[-0.087, -0.148, -0.1566]"
1720611593.211,"[-0.0432, -0.0208, -0.0152]","[-0.0246, -0.0948, -0.0891]","[-0.1359, -0.1246, -0.144]","[-0.0681, -0.09, -0.0486]"
1720611593.211,"[0.0551, -0.0455, -0.1012]","[-0.0755, -0.1458, -0.0467]","[-0.2017, -0.1403, -0.1496]","[-0.0227, -0.0396, -0.0197]"
1720611593.218,"[0.0406, 0.0136, -0.1374]","[-0.1242, -0.1162, -0.1249]","[-0.1614, -0.2177, -0.1173]","[-0.051, -0.0746, -0.1291]"
1720611593.218,"[0.1464, 0.1562, 0.0883]","[-0.0168, 0.0755, 0.0541]","[-0.0625, -0.0615, -0.0863]","[0.0049, 0.0433, 0.1281]"
1720611593.233,"[0.1471, 0.1708, 0.2069]","[0.0511, -0.0068, 0.0849]","[-0.0281, -0.0435, 0.0399]","[0.0572, 0.16, 0.1576]"
1720611593.249,"[0.183, 0.2432, 0.2064]","[0.1682, 0.1088, 0.1165]","[-0.1328, 0.034, 0.042]","[0.1294, 0.1684, 0.1649]"
1720611593.249,"[0.1158, 0.2264, 0.1135]","[-0.0167, 0.0968, 0.0562]","[-0.1494, 0.022, 0.0099]","[0.0314, 0.1576, 0.0472]"
1720611593.265,"[0.1809, 0.2016, 0.156]","[-0.0287, 0.0397, -0.0429]","[-0.1479, -0.1054, -0.0937]","[0.1015, 0.1073, 0.0896]"
1720611593.28,"[0.1602, 0.1549, 0.16]","[-0.0032, -0.0229, 0.0587]","[-0.1294, -0.077, -0.0392]","[0.0474, 0.1026, 0.1217]"
1720611593.28,"[0.19, 0.1605, 0.1849]","[0.0073, -0.0326, 0.024]","[-0.0344, -0.0926, -0.0715]","[0.107, 0.1076, 0.0948]"
1720611593.296,"[0.266, 0.2302, 0.1242]","[0.0708, -0.0016, -0.0258]","[-0.016, -0.1181, -0.0339]","[0.1957, 0.1169, 0.0658]"
1720611593.311,"[0.225, 0.096, 0.0681]","[-0.042, -0.0957, -0.3276]","[-0.1111, -0.2441, -0.3328]","[0.1958, 0.0113, -0.0079]"
1720611593.318,"[0.1764, 0.1183, 0.0718]","[-0.129, -0.0729, -0.2212]","[-0.2494, -0.2683, -0.3285]","[0.0244, 0.0005, -0.0723]"
1720611593.318,"[0.1588, 0.1683, 0.1474]","[-0.1285, -0.1219, -0.0739]","[-0.2906, -0.2904, -0.2961]","[-0.0042, 0.0075, -0.0232]"
1720611593.334,"[0.2803, 0.1849, 0.193]","[0.1155, -0.1074, -0.061]","[-0.1937, -0.2095, -0.1963]","[0.0589, 0.0582, 0.0293]"
1720611593.349,"[0.1751, 0.2132, 0.2339]","[-0.1301, 0.0328, 0.1314]","[-0.2439, -0.0395, 0.0023]","[0.0832, 0.1224, 0.1676]"
1720611593.365,"[0.3131, 0.3472, 0.2781]","[0.0571, 0.0991, 0.1062]","[-0.0799, -0.007, 0.0311]","[0.2806, 0.2296, 0.0846]"
1720611593.365,"[0.1043, 0.0387, -0.1699]","[-0.1531, -0.2356, 0.0902]","[-0.381, 0.3431, -0.1364]","[-0.2602, -0.1664, 0.0783]"
1720611593.38,"[-0.1343, -0.0371, -0.0464]","[-0.2377, -0.2568, -0.2304]","[-0.3904, -0.4073, -0.395]","[-0.2397, -0.1875, -0.2112]"
1720611593.38,"[-0.118, 0.0808, -0.0322]","[-0.0838, -0.0772, -0.2009]","[-0.3312, -0.2228, -0.3323]","[-0.2831, -0.0457, -0.1003]"
1720611593.396,"[0.251, 0.3047, 0.2754]","[0.093, 0.0862, 0.0927]","[-0.1463, -0.1026, 0.0699]","[0.2775, 0.1446, -0.1271]"
1720611593.412,"[0.2501, 0.2845, 0.2236]","[0.0669, 0.0882, -0.028]","[-0.2422, -0.0051, -0.1751]","[0.0461, 0.1256, 0.0223]"
1720611593.418,"[0.2437, 0.167, 0.0496]","[0.1244, -0.0072, -0.0936]","[-0.0861, -0.0503, -0.195]","[0.1618, 0.1127, -0.0732]"
1720611593.418,"[0.12, 0.1549, 0.0418]","[-0.13, -0.0202, -0.136]","[-0.1547, -0.0875, -0.2301]","[0.049, 0.0864, 0.0112]"
1720611593.434,"[0.0115, 0.009, 0.1015]","[-0.1625, -0.1627, -0.1231]","[-0.2056, -0.1943, -0.1893]","[-0.0364, -0.0338, -0.0112]"
1720611593.45,"[0.0737, 0.0186, 0.0273]","[-0.1484, -0.1769, -0.1551]","[-0.2691, -0.2485, -0.2238]","[-0.0738, -0.0975, -0.0219]"
1720611593.45,"[0.0549, 0.024, -0.0017]","[-0.1384, -0.1376, -0.164]","[-0.3045, -0.3303, -0.3453]","[-0.1417, -0.1522, -0.166]"
1720611593.465,"[0.0295, 0.0414, -0.021]","[-0.175, -0.1867, -0.1628]","[-0.1993, -0.2929, -0.3476]","[-0.1237, -0.0999, -0.1997]"
1720611593.481,"[0.1253, 0.0014, 0.002]","[-0.1714, -0.1417, -0.1362]","[-0.2208, -0.2956, -0.3004]","[-0.0569, -0.1086, -0.1402]"
1720611593.481,"[-0.0161, 0.11, 0.1312]","[-0.1643, -0.0927, -0.1137]","[-0.3442, -0.2359, -0.2378]","[-0.176, -0.0632, -0.0238]"
1720611593.496,"[-0.0672, -0.0094, 0.1989]","[-0.049, -0.4057, -0.0354]","[-0.1013, -0.0897, -0.1749]","[-0.0132, -0.1882, 0.0933]"
1720611593.512,"[0.163, 0.0354, -0.0238]","[-0.0203, -0.1425, -0.1041]","[-0.1039, -0.1847, -0.1098]","[0.0751, -0.0017, 0.0872]"
1720611593.534,"[0.2016, 0.1751, 0.0594]","[-0.086, 0.206, -0.1708]","[-0.058, -0.0177, -0.1591]","[0.0741, 0.2013, 0.0534]"
1720611593.534,"[0.3353, 0.2835, 0.2156]","[0.1402, 0.1464, 0.1128]","[0.0425, 0.0349, -0.0129]","[0.2128, 0.1868, 0.0682]"
1720611593.534,"[0.3275, 0.2949, 0.2639]","[0.1056, 0.0968, -0.0051]","[-0.0021, -0.0229, 0.0402]","[0.2053, 0.1676, 0.0625]"
1720611593.55,"[0.2206, 0.0744, 0.0323]","[0.0261, -0.131, -0.1142]","[-0.2357, -0.2376, -0.2451]","[-0.0441, -0.1855, -0.1014]"
1720611593.55,"[0.0083, -0.0223, 0.0228]","[-0.1653, -0.2009, -0.1304]","[-0.3257, -0.2867, -0.2487]","[-0.07, -0.102, -0.0829]"
1720611593.566,"[-0.1328, -0.0443, -0.0612]","[-0.19, -0.2471, -0.2348]","[-0.3266, -0.3591, -0.2621]","[-0.1711, -0.1958, -0.0911]"
1720611593.581,"[-0.0873, -0.1312, 0.1257]","[-0.1904, -0.3228, -0.2416]","[-0.2764, -0.268, -0.3006]","[-0.1482, -0.0748, -0.1095]"
1720611593.581,"[-0.0536, 0.1261, 0.1619]","[-0.1551, -0.1704, 0.047]","[-0.0713, -0.1992, -0.0588]","[-0.1614, -0.0413, 0.0892]"
1720611593.597,"[0.0303, 0.0797, 0.0127]","[-0.048, -0.0566, 0.0221]","[-0.1386, -0.1208, -0.0871]","[-0.005, -0.0259, -0.0031]"
1720611593.613,"[0.0917, 0.0095, 0.0192]","[-0.0848, -0.0254, -0.0178]","[-0.1534, -0.1246, -0.0802]","[-0.0055, 0.0904, -0.0189]"
1720611593.619,"[0.0891, 0.0924, 0.09]","[-0.0922, -0.0388, -0.0252]","[-0.0422, -0.0946, -0.0615]","[-0.0456, 0.0516, 0.0074]"
1720611593.619,"[0.1293, 0.1372, 0.103]","[0.0484, -0.0493, -0.0471]","[0.0225, -0.1478, -0.0929]","[0.0519, -0.0432, 0.0268]"
1720611593.635,"[0.1246, 0.1384, 0.1319]","[0.0188, -0.0048, -0.0507]","[-0.0138, 0.001, -0.0689]","[0.0919, 0.0099, 0.0494]"
1720611593.65,"[0.0667, 0.0482, 0.0376]","[-0.0617, -0.0746, -0.008]","[-0.0738, -0.1426, -0.0803]","[0.0508, 0.0761, -0.0412]"
1720611593.65,"[-0.0054, -0.0306, 0.133]","[-0.0403, -0.0923, -0.1543]","[-0.0789, -0.0722, -0.1066]","[-0.0169, -0.044, -0.0257]"
1720611593.666,"[-0.0168, -0.0308, 0.1292]","[-0.0624, -0.1598, -0.2023]","[-0.0913, -0.0866, -0.0918]","[-0.05, -0.0766, 0.0597]"
1720611593.682,"[-0.0856, -0.0827, 0.0443]","[-0.0998, -0.0739, -0.0951]","[-0.1269, -0.1627, -0.0935]","[-0.0959, -0.0802, 0.0193]"
1720611593.682,"[-0.1038, -0.099, 0.1025]","[-0.0478, -0.1481, -0.0714]","[-0.1223, -0.1708, -0.1458]","[-0.1256, -0.1187, -0.0798]"
1720611593.703,"[-0.0522, -0.0191, 0.1283]","[0.0066, -0.0798, 0.0406]","[-0.0909, -0.0792, -0.0547]","[-0.0337, -0.0754, 0.025]"
1720611593.706,"[0.084, 0.1658, 0.2368]","[0.0477, 0.082, 0.0242]","[-0.0355, 0.031, -0.0157]","[0.0517, 0.1003, 0.1116]"
1720611593.719,"[0.1316, 0.1353, 0.1922]","[0.0774, 0.0506, 0.1244]","[-0.0219, 0.0231, 0.0537]","[0.023, 0.1506, 0.1194]"
1720611593.719,"[0.0407, 0.0357, 0.0521]","[0.0224, -0.0098, 0.0919]","[-0.0471, -0.1075, 0.0198]","[0.001, -0.0532, 0.0577]"
1720611593.735,"[0.0323, 0.032, 0.0307]","[-0.0092, -0.0328, -0.0692]","[-0.0802, -0.121, -0.1138]","[-0.0035, -0.0629, -0.0547]"
1720611593.751,"[0.0203, 0.0261, 0.0515]","[-0.0284, -0.0174, -0.0496]","[-0.1126, -0.1341, -0.1204]","[-0.0443, -0.0375, -0.0369]"
1720611593.751,"[0.0903, 0.0969, 0.0484]","[0.0148, 0.0203, -0.054]","[-0.0828, -0.0667, -0.118]","[0.0331, 0.0253, -0.0132]"
1720611593.766,"[0.0357, 0.0482, 0.0405]","[-0.0277, -0.0169, -0.0484]","[-0.113, -0.0537, -0.1551]","[0.0002, 0.0068, -0.0509]"
1720611593.782,"[-0.0369, -0.0386, 0.0521]","[-0.0007, -0.1209, -0.0543]","[-0.1021, -0.1477, 0.231]","[-0.0475, -0.0917, 0.005]"
1720611593.782,"[0.1163, -0.0963, 0.048]","[-0.0914, -0.1668, 0.1066]","[-0.0588, -0.1326, 0.0162]","[0.0303, -0.0885, 0.0718]"
1720611593.798,"[0.1387, -0.0109, 0.0119]","[-0.0492, 0.0029, 0.0566]","[-0.0891, -0.0968, -0.0367]","[-0.014, -0.0069, 0.0808]"
1720611593.813,"[0.0266, 0.0981, 0.0162]","[-0.0275, 0.0472, -0.0018]","[0.0005, -0.0013, -0.0111]","[0.0689, 0.0319, 0.0175]"
